S. No.,F.Y.,Location,Month,PO No.,PO STATUS,Type,PO Value,Variation,Revised PO Value,Certified Value,Vendor Debit / Credit,Final Certified Value(K-L),Project,Vendor Name,Vendor Code,Category,Amount Paid,Final Payables,Total Invoice value,Credit Note/ Debit Note,Final Invoice value,Invoice Needed as per Certification,Invoice Needed as per Paid Amount,Advance,RA 1,RA 2,RA 3,RA 4,RA 5,RA 6,RA 7,RA 8,RA9,RA10,Final,TDS,PO vs Amount Paid %,Invoice No.1,Invoice Date1,Inv_Amount1,Invoice No._2,Invoice Date_2,Inv_Amount_2,Invoice No. _3,Invoice Date_3,Inv_Amount_3,Invoice No. _4,Invoice Date. _4,Inv_Amount_4,Invoice No. _5,Invoice Date. _5,Inv_Amount_5,Invoice No. _6,Invoice Date. _6,Inv_Amount_6,Invoice No. _7,Invoice Date. _7,Inv_Amount_7,Max_Inv_Date,Reason,Debit Note Status,Remarks,,Project Code
47,25-26,,Jun,LAIPL/PO/25-26/031,Open,,"137,500",0,"137,500","137,500",,"137,500",CASHIFY,Mr. Md Irfan Ahmad,VEN-040,,"164,736","-27,236",0,,0,"137,500","164,736","15,000","20,000","30,000","35,000","20,000","44,736",,,,,,,,120%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
48,25-26,,Jun,LAIPL/PO/25-26/032,Open,,"301,473",0,"301,473","301,473",,"301,473",CASHIFY,MS Decor Film,VEN-003,,"260,973","40,501",0,,0,"301,473","260,973","52,535","26,168","50,000","44,270","72,237","13,000",,,,,,,"2,763",87%,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,#REF!
49,25-26,,Jun,LAIPL/PO/25-26/033,Partially Billed,,"169,035",0,"169,035","169,035",,"169,035",CASHIFY,Interio Mart,VEN-012,,"169,035",0,0,,0,"169,035","169,035","79,208","89,827",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
50,25-26,,Jun,LAIPL/PO/25-26/034,Open,,"53,808",0,"53,808","53,808",,"53,808",Cashify,Innovative Merchant,VEN-041,,"53,808",0,0,,0,"53,808","53,808",,"53,808",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
51,25-26,,Jul,LAIPL/PO/25-26/035,Open,,"2,118,598",0,"2,118,598","2,118,598",,"2,118,598",Scottish,B R Interiors,VEN-001,,"1,487,000","631,598",0,,0,"2,118,598","1,487,000","150,000","100,000","1,170,000","54,000",,,,,,,,,"13,000",70%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
52,25-26,,Jul,LAIPL/PO/25-26/036,Open,,"357,139",0,"357,139","357,139",,"357,139",Scottish,B R Interiors,VEN-001,,0,"357,139",0,,0,"357,139",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
53,25-26,,Jul,LAIPL/PO/25-26/037,Open,,"48,000",0,"48,000","48,000",,"48,000",Cashify,Unique Enterprises,VEN-042,,"14,400","33,600",0,,0,"48,000","14,400",,"14,256",,,,,,,,,,,144,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
54,25-26,,Jul,LAIPL/PO/25-26/038,Open,,"64,900",0,"64,900","64,900",,"64,900",Cashify,BALFRE HOSPITALITY AND FACILITY MANAGEMENT LLP,VEN-032,,0,"64,900",0,,0,"64,900",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
55,25-26,,Jul,LAIPL/PO/25-26/040,Partially Billed,,"51,920",0,"51,920","51,920",,"51,920",Cashify,Sachin Deep Cleaning,VEN-037,,"37,256","14,664",0,,0,"51,920","37,256","20,800","16,456",,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
56,25-26,,Jul,LAIPL/PO/25-26/041,Open,,"6,490",0,"6,490","6,490",,"6,490",Pinnacle Co-working,TIRUPATI WORK SPACE SOLUTIONS PVT LTD.,VEN-022,,"6,490",0,0,,0,"6,490","6,490","6,490",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
57,25-26,,Jul,LAIPL/PO/25-26/042,Open,,"46,035",0,"46,035","46,035",,"46,035",Cashify,Aslam,VEN-043,,"30,000","16,035",0,,0,"46,035","30,000","30,000",,,,,,,,,,,,,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
58,25-26,,Aug,LAIPL/PO/25-26/043,Open,,"181,614",0,"181,614","181,614",,"181,614",CASHIFY,ASK MODULAR SYSTEM LLP,VEN-028,,"181,614",0,0,,0,"181,614","181,614","54,484","90,807","36,323",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
59,25-26,,Aug,LAIPL/PO/25-26/044,Open,,"366,980",0,"366,980","366,980",,"366,980",UBITECH,F A Interiors,VEN-045,,"366,980",0,0,,0,"366,980","366,980","92,400","100,000","116,632","57,948",,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
60,25-26,,Aug,LAIPL/PO/25-26/045,Billed,,"61,566",0,"61,566","61,566",,"61,566",INDMONEY,Interio Mart,VEN-012,,"61,566",0,0,,0,"61,566","61,566","30,783","30,783",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
61,25-26,,Aug,LAIPL/PO/25-26/046,Billed,,"35,400",0,"35,400","35,400",,"35,400",UBITECH,Flush Door India,VEN-046,,"35,400",0,0,,0,"35,400","35,400","35,400",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
62,25-26,,Aug,LAIPL/PO/25-26/047,Open,,"97,940",0,"97,940","97,940",,"97,940",INDMONEY,Vasudev Enterprises,VEN-013,,"97,110",830,"97,110",-830,"97,940",830,0,"60,000","36,323",-43,,,,,,,,,,830,99%,,,97110,,,,,,,,,,,,,,,,,,,,,,,,#REF!
63,25-26,,Aug,LAIPL/PO/25-26/048,Open,,"1,742,368",0,"1,742,368","1,742,368",,"1,742,368",COOFFIZ NOIDA,Vasudev Enterprises,VEN-013,,"1,341,402","400,966","1,529,947","-212,421","1,742,368","212,421","-188,545","216,058","200,000","92,221","339,191","250,000","243,932",,,,,,,,77%,,,644947,,,413000,,,"472,000",,,,,,,,,,,,,,,,,,#REF!
64,25-26,,Aug,LAIPL/PO/25-26/049,Billed,,"4,470,265",0,"4,470,265","4,470,265",,"4,470,265",COOFFIZ NOIDA,Waves Enterprises,VEN-047,,"4,601,184","-130,919","1,529,947","-2,940,318","4,470,265","2,940,318","3,071,237","1,050,000","451,184","1,000,000","400,000","1,200,000","500,000",,,,,,,,103%,,,644947,,,413000,,,"472,000",,,,,,,,,,,,,,,,,,#REF!
